Events number,p1x,p1y,p1z,p2x,p2y,p2z
59,26.08654909,6.894332484,19.47337056,-21.82476594,-6.272984223,-18.66707408
60,23.38787853,13.58189431,-21.10709042,-23.51077681,-12.52789826,18.62981933
61,0.6079998,24.40915381,-9.181771103,-0.632756751,-32.52863575,9.300147524
62,-2.128176108,23.23365887,-16.05043492,2.070869595,-22.53455396,14.41742004
63,30.12925931,9.794275572,-7.628895885,-29.76693929,-8.256373854,6.736910898
64,30.01178689,0.078299689,16.81711005,-31.36861777,-0.071476923,-16.84306233
65,-6.185026934,20.31420769,-22.59689673,4.730227435,-19.55789132,28.49767436
66,23.82594342,6.152231884,19.14602276,-25.44884532,-6.578980336,-17.43487969
67,3.451247006,32.37994551,-6.493099403,-4.169608415,-35.8325492,5.937152449
68,-1.757009147,33.23279378,-9.782433806,1.839823589,-34.35956758,9.750802233
69,15.20859895,25.32152057,11.76398722,-17.74607751,-21.25611292,-13.39616708
70,-25.3515294,13.88800338,-20.87992973,22.65713618,-14.1848197,16.26946985
71,3.215690267,29.700727,-11.93740308,-3.395253152,-30.58273197,10.21419318
72,18.74132354,25.54108126,-6.514885614,-19.95678841,-27.91552947,5.811031351
73,-0.632034108,26.5278876,21.1308952,0.6959764,-25.30194192,-24.41622162
74,-25.97802035,1.989559662,-19.15694757,27.41656169,-1.781690059,17.28204606
75,-16.24410591,22.47310781,-16.58364011,15.64672797,-21.40103014,14.8935313
76,-15.42046951,6.627866964,25.31153735,20.11982517,-6.911951521,-25.25129169
77,23.36499526,20.04888404,-1.274500003,-21.04284212,-26.11054666,1.330409869
78,-15.98691722,7.240924172,-28.96176319,11.44380425,-7.210478671,27.79012918
79,-18.30967389,7.834192743,27.57819074,16.74062392,-10.59949259,-28.82834541
80,-19.0061626,21.23831437,12.51142802,18.30317704,-23.2966716,-11.89173225
81,-22.41290251,4.663609038,-21.76110297,19.8254906,-5.011884202,21.3099121
82,-4.769918008,13.2010196,28.82110863,5.53167361,-13.06466417,-27.86921001
83,-9.893740218,6.098851882,27.20334061,10.34036424,-6.097943305,-28.50423193
84,-28.31936246,3.258597411,-17.44538514,24.556026,-3.386262936,16.27713552
85,-22.81258613,21.54645729,1.284540814,26.76294326,-18.98802803,-1.165345251
86,-17.18504349,27.10322376,-2.344651229,16.3860293,-27.54819291,2.23861919
87,2.030903045,34.63688291,15.83705356,-1.773405297,-28.58420702,-12.03315832
88,5.849172132,24.18050636,17.73547039,-6.234251459,-27.76347384,-14.38177552
89,-24.97285623,24.31185432,-7.160056628,21.01971192,-15.80943534,6.816078501
90,-10.42784319,8.209343157,-31.16692837,9.573370638,-8.576872244,32.9068825
91,-26.05278434,11.97685472,3.687275984,32.23717829,-13.92887738,-3.478445214
92,27.76421717,17.05988195,-1.032262208,-28.18707318,-16.47640002,1.023906832
93,-2.350246162,20.12360171,26.65775124,2.984785288,-18.18057824,-25.87924775
94,-5.493267371,28.5299124,-14.69959774,5.723852739,-28.04474463,13.24771842
95,26.14886903,1.988098306,-20.77866621,-26.1345752,-2.124883532,22.9033423
96,-13.1186329,24.47417421,-7.403802171,12.68303638,-31.29743925,6.931599038
97,-20.49075786,1.547731438,-27.04197884,18.95558925,-1.392116594,23.11841623
98,-13.78629527,13.60674631,-22.84645329,13.98241974,-18.6484277,23.19701457
99,-23.22546657,18.09412595,-0.927975632,23.69901076,-21.61110261,1.074465941
100,-3.306840161,20.65895846,16.72060177,3.490610639,-28.16490433,-15.5493008
101,-16.81073192,24.56846842,-13.82379073,17.73596575,-20.66395741,15.46412339
102,6.258380823,15.66058145,28.96967213,-6.022635463,-14.24152773,-26.55606546
103,-11.56878291,26.32465433,6.508087118,12.02992976,-28.88807808,-6.124065121
104,14.10665139,7.59685867,-25.42421887,-12.82939901,-7.11496354,29.94286374
105,10.60627602,26.9863614,-7.535061169,-10.7892227,-25.72204851,7.093462174
106,27.25854889,19.10407792,-7.652215052,-23.63212521,-17.56029369,7.642509901
107,19.2804615,21.31190418,-12.16713103,-21.73545903,-17.73221672,14.46411884
108,9.991389403,12.68080321,25.57376449,-8.919793233,-15.2681834,-27.22613867
109,-9.854730483,27.58691051,15.94115955,8.147418639,-25.20516208,-15.18368968
110,-30.04894759,4.552119939,-13.25975077,32.30158086,-4.440551876,14.38639621
111,4.411303325,35.45485705,-3.387247226,-4.184927251,-29.0713065,3.539595163
112,-33.74993294,0.37742941,8.234324564,33.47933725,-0.387452613,-7.742201695
113,1.18863477,29.28669086,-13.28902324,-1.264602368,-26.79287393,12.20419839
114,14.57688217,34.69962113,3.934768605,-13.27753781,-24.46729498,-4.094044111
115,-23.18340379,4.558773494,22.20790917,26.90161853,-4.427323459,-21.52443668
116,20.28807537,1.211263425,-25.16609697,-18.72555044,-1.136270038,25.39457802
117,25.05837301,17.29920725,-7.908792735,-27.79968302,-16.01246839,9.566694466
118,6.267863946,8.716716018,-28.92320443,-6.491326872,-10.02591188,28.05089247
119,27.23191369,4.085178823,3.311119315,-28.34434304,-3.562095106,-3.226695654
120,-11.61824974,17.07327587,22.51342041,11.58364035,-17.7789527,-22.39665241
121,-25.16760162,21.90332264,-3.786550306,23.85219898,-21.28799621,3.513817454
122,28.02046916,9.791410533,10.12648185,-30.38491621,-8.75374903,-11.36606868
123,11.32731785,21.82979206,-19.89746479,-12.06769743,-20.91919131,20.46778335
124,30.02108847,11.56537061,-0.884732736,-27.62700572,-14.43104677,0.758304188
125,-1.433192507,28.99801614,-18.78115184,1.599706204,-25.7380228,16.58644395
126,-0.75999302,32.91208838,-1.203010433,0.714556133,-35.87386217,1.333254472
127,21.31410387,21.15900554,11.49675297,-23.77146978,-19.45522741,-10.7324403
128,-16.73931292,28.49043443,-10.20968787,18.48344348,-25.27104192,10.7813554
129,-28.01429937,9.536816809,-10.03666035,28.17987335,-11.90171855,9.485432438
130,-21.21082219,23.6988029,8.368566582,18.2307826,-22.03052419,-8.863278145
131,2.899353512,27.74103796,-13.9851387,-3.090400415,-29.25654042,14.17246989
132,5.412833966,35.1841597,8.528480873,-6.182714454,-29.00703082,-8.627995375
133,6.206393074,11.52850146,-31.67096895,-7.131035288,-12.04131208,30.0598271
134,8.430054446,34.35204264,-4.150410137,-8.466213891,-32.13303111,3.909211849
135,-10.45145646,28.54429714,-2.968040955,12.99579825,-30.52968223,3.87510446
136,12.52966703,15.88126305,-26.14402208,-14.20434976,-15.22365334,24.04509419
